country_code,is_independent,currency_name,status,landlocked,country,region,subregion,capital,continent
TWN,Yes,,,No,,,,Taipei,AS
AFG,Yes,Afghani,Developing,Yes,Afghanistan,Asia,Southern Asia,Kabul,AS
ALB,Yes,Lek,Developed,No,Albania,Europe,Southern Europe,Tirana,EU
DZA,Yes,Algerian Dinar,Developing,No,Algeria,Africa,Northern Africa,Algiers,AF
ASM,Territory of US,US Dollar,Developing,No,American Samoa,Oceania,Polynesia,Pago Pago,OC
AND,Yes,Euro,Developed,No,Andorra,Europe,Southern Europe,Andorra la Vella,EU
AGO,Yes,Kwanza,Developing,No,Angola,Africa,Sub-Saharan Africa,Luanda,AF
AIA,Territory of GB,East Caribbean Dollar,Developing,No,Anguilla,Americas,Latin America and the Caribbean,The Valley,NA
ATA,International,No universal currency,,No,Antarctica,,,,AN
ATG,Yes,East Caribbean Dollar,Developing,No,Antigua and Barbuda,Americas,Latin America and the Caribbean,St. John's,NA
ARG,Yes,Argentine Peso,Developing,No,Argentina,Americas,Latin America and the Caribbean,Buenos Aires,SA
ARM,Yes,Armenian Dram,Developing,Yes,Armenia,Asia,Western Asia,Yerevan,AS
ABW,Part of NL,Aruban Florin,Developing,No,Aruba,Americas,Latin America and the Caribbean,Oranjestad,NA
AUS,Yes,Australian Dollar,Developed,No,Australia,Oceania,Australia and New Zealand,Canberra,OC
AUT,Yes,Euro,Developed,No,Austria,Europe,Western Europe,Vienna,EU
AZE,Yes,Azerbaijan Manat,Developing,Yes,Azerbaijan,Asia,Western Asia,Baku,AS
BHS,Yes,Bahamian Dollar,Developing,No,Bahamas,Americas,Latin America and the Caribbean,Nassau,NA
BHR,Yes,Bahraini Dinar,Developing,No,Bahrain,Asia,Western Asia,Manama,AS
BGD,Yes,Taka,Developing,No,Bangladesh,Asia,Southern Asia,Dhaka,AS
BRB,Yes,Barbados Dollar,Developing,No,Barbados,Americas,Latin America and the Caribbean,Bridgetown,NA
BLR,Yes,Belarusian Ruble,Developed,No,Belarus,Europe,Eastern Europe,Minsk,EU
BEL,Yes,Euro,Developed,No,Belgium,Europe,Western Europe,Brussels,EU
BLZ,Yes,Belize Dollar,Developing,No,Belize,Americas,Latin America and the Caribbean,Belmopan,NA
BEN,Yes,CFA Franc BCEAO,Developing,No,Benin,Africa,Sub-Saharan Africa,Porto-Novo,AF
BMU,Territory of GB,Bermudian Dollar,Developed,No,Bermuda,Americas,Northern America,Hamilton,NA
BTN,Yes,Indian Rupee and Ngultrum,Developing,Yes,Bhutan,Asia,Southern Asia,Thimphu,AS
BOL,Yes,Boliviano,Developing,Yes,Bolivia,Americas,Latin America and the Caribbean,Sucre,SA
BES,Part of NL,US Dollar,Developing,No,Bonaire, SINT EUSTATIUS AND SABA,,Americas,Latin America and the Caribbean,
BIH,Yes,Convertible Mark,Developed,No,Bosnia and Herzegovina,Europe,Southern Europe,Sarajevo,EU
BWA,Yes,Pula,Developing,Yes,Botswana,Africa,Sub-Saharan Africa,Gaborone,AF
BVT,Territory of NO,Norwegian Krone,Developing,No,Bouvet Island,Americas,Latin America and the Caribbean,,AN
BRA,Yes,Brazilian Real,Developing,No,Brazil,Americas,Latin America and the Caribbean,Brasilia,SA
IOT,Territory of GB,US Dollar,Developing,No,British Indian Ocean Territory,Africa,Sub-Saharan Africa,Diego Garcia,AS
VGB,Territory of GB,US Dollar,Developing,No,British Virgin Islands,Americas,Latin America and the Caribbean,Road Town,NA
BRN,Yes,Brunei Dollar,Developing,No,Brunei,Asia,South-eastern Asia,Bandar Seri Begawan,AS
BGR,Yes,Bulgarian Lev,Developed,No,Bulgaria,Europe,Eastern Europe,Sofia,EU
BFA,Yes,CFA Franc BCEAO,Developing,Yes,Burkina Faso,Africa,Sub-Saharan Africa,Ouagadougou,AF
BDI,Yes,Burundi Franc,Developing,Yes,Burundi,Africa,Sub-Saharan Africa,Bujumbura,AF
CPV,Yes,Cabo Verde Escudo,Developing,No,Cape Verde,Africa,Sub-Saharan Africa,Praia,AF
KHM,Yes,Riel,Developing,No,Cambodia,Asia,South-eastern Asia,Phnom Penh,AS
CMR,Yes,CFA Franc BEAC,Developing,No,Cameroon,Africa,Sub-Saharan Africa,Yaounde,AF
CAN,Yes,Canadian Dollar,Developed,No,Canada,Americas,Northern America,Ottawa,NA
CYM,Territory of GB,Cayman Islands Dollar,Developing,No,Cayman Islands,Americas,Latin America and the Caribbean,George Town,NA
CAF,Yes,CFA Franc BEAC,Developing,Yes,Central African Republic,Africa,Sub-Saharan Africa,Bangui,AF
TCD,Yes,CFA Franc BEAC,Developing,Yes,Chad,Africa,Sub-Saharan Africa,N'Djamena,AF
CHL,Yes,Chilean Peso,Developing,No,Chile,Americas,Latin America and the Caribbean,Santiago,SA
CHN,Yes,Yuan Renminbi,Developing,No,China,Asia,Eastern Asia,Beijing,AS
HKG,Part of CN,Hong Kong Dollar,Developing,No,Hong Kong SAR,Eastern Asia,Hong Kong,,
MAC,Part of CN,Pataca,Developing,No,Macau SAR,Eastern Asia,Macao,,
CXR,Territory of AU,Australian Dollar,Developed,No,Christmas Island,Oceania,Australia and New Zealand,Flying Fish Cove,OC
CCK,Territory of AU,Australian Dollar,Developed,No,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,West Island,AS
COL,Yes,Colombian Peso,Developing,No,Colombia,Americas,Latin America and the Caribbean,Bogota,SA
COM,Yes,Comorian Franc ,Developing,No,Comoros,Africa,Sub-Saharan Africa,Moroni,AF
COG,Yes,CFA Franc BEAC,Developing,No,Congo,Africa,Sub-Saharan Africa,Brazzaville,AF
COK,Associated with NZ,New Zealand Dollar,Developing,No,Cook Islands,Oceania,Polynesia,Avarua,OC
CRI,Yes,Costa Rican Colon,Developing,No,Costa Rica,Americas,Latin America and the Caribbean,San Jose,NA
HRV,Yes,Kuna,Developed,No,Croatia,Europe,Southern Europe,Zagreb,EU
CUB,Yes,Cuban Peso and Peso Convertible,Developing,No,Cuba,Americas,Latin America and the Caribbean,Havana,NA
CUW,Part of NL,Netherlands Antillean Guilder,Developing,No,Curaçao,Americas,Latin America and the Caribbean, Willemstad,NA
CYP,Yes,Euro,Developed,No,Cyprus,Asia,Western Asia,Nicosia,EU
CZE,Yes,Czech Koruna,Developed,No,Czech Republic,Europe,Eastern Europe,Prague,EU
CIV,Yes,CFA Franc BCEAO,Developing,No,Côte d'Ivoire,Africa,Sub-Saharan Africa,Yamoussoukro,AF
PRK,Yes,North Korean Won,Developing,No,Korea DPR,Asia,Eastern Asia,Pyongyang,AS
COD,Yes,Congolese Franc,Developing,No,Congo Dem. Rep.,Africa,Sub-Saharan Africa,Kinshasa,AF
DNK,Yes,Danish Krone,Developed,No,Denmark,Europe,Northern Europe,Copenhagen,EU
DJI,Yes,Djibouti Franc,Developing,No,Djibouti,Africa,Sub-Saharan Africa,Djibouti,AF
DMA,Yes,East Caribbean Dollar,Developing,No,Dominica,Americas,Latin America and the Caribbean,Roseau,NA
DOM,Yes,Dominican Peso,Developing,No,Dominican Republic,Americas,Latin America and the Caribbean,Santo Domingo,NA
ECU,Yes,US Dollar,Developing,No,Ecuador,Americas,Latin America and the Caribbean,Quito,SA
EGY,Yes,Egyptian Pound,Developing,No,Egypt,Africa,Northern Africa,Cairo,AF
SLV,Yes,El Salvador Colon and US Dollar,Developing,No,El Salvador,Americas,Latin America and the Caribbean,San Salvador,NA
GNQ,Yes,CFA Franc BEAC,Developing,No,Equatorial Guinea,Africa,Sub-Saharan Africa,Malabo,AF
ERI,Yes,Nakfa,Developing,No,Eritrea,Africa,Sub-Saharan Africa,Asmara,AF
EST,Yes,Euro,Developed,No,Estonia,Europe,Northern Europe,Tallinn,EU
SWZ,Yes,Lilangeni,Developing,Yes,Eswatini,Africa,Sub-Saharan Africa,Mbabane,AF
ETH,Yes,Ethiopian Birr,Developing,Yes,Ethiopia,Africa,Sub-Saharan Africa,Addis Ababa,AF
FLK,Territory of GB,,Developing,No,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,Stanley,SA
FRO,Part of DK,Danish Krone,Developed,No,Faroe Islands,Europe,Northern Europe,Torshavn,EU
FJI,Yes,Fiji Dollar,Developing,No,Fiji,Oceania,Melanesia,Suva,OC
FIN,Yes,Euro,Developed,No,Finland,Europe,Northern Europe,Helsinki,EU
FRA,Yes,Euro,Developed,No,France,Europe,Western Europe,Paris,EU
GUF,Part of FR,Euro,Developing,No,French Guiana,Americas,Latin America and the Caribbean,Cayenne,SA
PYF,Territory of FR,CFP Franc,Developing,No,French Polynesia,Oceania,Polynesia,Papeete,OC
ATF,Territory of FR,Euro,Developing,No,French Southern Territories,Africa,Sub-Saharan Africa,Port-aux-Francais,AN
GAB,Yes,CFA Franc BEAC,Developing,No,Gabon,Africa,Sub-Saharan Africa,Libreville,AF
GMB,Yes,Dalasi,Developing,No,Gambia The,Africa,Sub-Saharan Africa,Banjul,AF
GEO,Yes,Lari,Developing,No,Georgia,Asia,Western Asia,Tbilisi,AS
DEU,Yes,Euro,Developed,No,Germany,Europe,Western Europe,Berlin,EU
GHA,Yes,Ghana Cedi,Developing,No,Ghana,Africa,Sub-Saharan Africa,Accra,AF
GIB,Territory of GB,Gibraltar Pound,Developed,No,Gibraltar,Europe,Southern Europe,Gibraltar,EU
GRC,Yes,Euro,Developed,No,Greece,Europe,Southern Europe,Athens,EU
GRL,Part of DK,Danish Krone,Developed,No,Greenland,Americas,Northern America,Nuuk,NA
GRD,Yes,East Caribbean Dollar,Developing,No,Grenada,Americas,Latin America and the Caribbean,St. George's,NA
GLP,Part of FR,Euro,Developing,No,Guadeloupe,Americas,Latin America and the Caribbean,Basse-Terre,NA
GUM,Territory of US,US Dollar,Developing,No,Federated States of Micronesia,Oceania,Micronesia,Hagatna,OC
GTM,Yes,Quetzal,Developing,No,Guatemala,Americas,Latin America and the Caribbean,Guatemala City,NA
GGY,Crown dependency of GB,Pound Sterling,Developed,No,Guernsey,Europe,Northern Europe,St Peter Port,EU
GIN,Yes,Guinean Franc,Developing,No,Guinea,Africa,Sub-Saharan Africa,Conakry,AF
GNB,Yes,CFA Franc BCEAO,Developing,No,Guinea-Bissau,Africa,Sub-Saharan Africa,Bissau,AF
GUY,Yes,Guyana Dollar,Developing,No,Guyana,Americas,Latin America and the Caribbean,Georgetown,SA
HTI,Yes,Gourde and US Dollar,Developing,No,Haiti,Americas,Latin America and the Caribbean,Port-au-Prince,NA
HMD,Territory of AU,Australian Dollar,Developed,No,Heard Island and McDonald Islands,Oceania,Australia and New Zealand,,AN
VAT,Yes,Euro,Developed,No,Holy See,Europe,Southern Europe,Vatican City,EU
HND,Yes,Lempira,Developing,No,Honduras,Americas,Latin America and the Caribbean,Tegucigalpa,NA
HUN,Yes,Forint,Developed,No,Hungary,Europe,Eastern Europe,Budapest,EU
ISL,Yes,Iceland Krona,Developed,No,Iceland,Europe,Northern Europe,Reykjavik,EU
IND,Yes,Indian Rupee,Developing,No,India,Asia,Southern Asia,New Delhi,AS
IDN,Yes,Rupiah,Developing,No,Indonesia,Asia,South-eastern Asia,Jakarta,AS
IRN,Yes,Iranian Rial,Developing,No,Iran,Asia,Southern Asia,Tehran,AS
IRQ,Yes,Iraqi Dinar,Developing,No,Iraq,Asia,Western Asia,Baghdad,AS
